ticker,lag1_textblob_correlation,lag1_pvalue,lag2_textblob_correlation,lag2_pvalue,sample_size
ADBE,-0.0015,0.9671,-0.0237,0.5256,720
ADI,0.065,0.1583,0.0183,0.6922,472
ADP,0.0226,0.6392,0.0218,0.6521,433
ALGN,-0.0496,0.3725,0.0544,0.3287,325
AMAT,0.0036,0.9464,0.073,0.1706,355
ASML,-0.0334,0.5086,-0.0139,0.783,395
AVGO,-0.053,0.1643,-0.0021,0.9553,690
BIDU,-0.071,0.0291,-0.0108,0.7401,945
BIIB,0.048,0.1736,-0.0033,0.9263,804
CMCSA,0.0016,0.9639,0.0123,0.7274,811
CSCO,-0.0692,0.1631,-0.0524,0.2912,408
CTAS,-0.1278,0.0418,0.1442,0.0218,254
CTSH,-0.0144,0.77,-0.0813,0.0976,417
DLTR,-0.0208,0.6029,0.0198,0.6204,630
EA,0.0093,0.7744,-0.0165,0.6112,948
EBAY,0.0084,0.7828,0.0421,0.1688,1072
ENPH,0.0261,0.6519,-0.0196,0.735,301
FAST,-0.0327,0.611,0.0158,0.8062,244
FTNT,0.03,0.5251,-0.0055,0.9078,452
GILD,0.025,0.385,0.0084,0.7699,1209
GOOG,-0.0035,0.948,-0.0557,0.2988,351
GOOGL,-0.0217,0.6563,-0.0197,0.6865,423
ILMN,-0.0275,0.5174,-0.0082,0.8478,556
INTU,0.0541,0.217,0.0509,0.2459,523
JD,0.0347,0.398,0.0175,0.6701,596
KLAC,-0.0336,0.4987,-0.0056,0.91,408
LRCX,-0.0246,0.6353,0.0505,0.3302,375
MCHP,0.0606,0.2144,-0.0009,0.9858,422
MNST,-0.0417,0.375,0.0049,0.9164,454
MRVL,0.0519,0.1742,-0.0547,0.1526,686
MU,0.0102,0.7301,0.0387,0.1924,1138
NFLX,0.0172,0.6319,0.0218,0.5425,782
NTES,-0.0395,0.437,-0.055,0.2797,389
NVDA,-0.0136,0.6498,0.0311,0.2974,1124
NXPI,0.0026,0.9486,-0.012,0.7619,641
ORCL,0.0374,0.247,-0.0408,0.2076,958
ORLY,-0.0052,0.9226,-0.0352,0.5142,346
PANW,-0.036,0.4176,0.0152,0.7319,509
PAYX,0.005,0.9298,0.0323,0.5684,315
QCOM,0.0108,0.7142,-0.0404,0.171,1151
REGN,-0.0729,0.0511,-0.0471,0.2077,717
SBUX,-0.0012,0.9837,0.0485,0.4202,279
SIRI,0.0317,0.4044,-0.0396,0.2983,692
TSLA,0.0595,0.3704,0.0497,0.4553,229
TXN,-0.0355,0.3343,-0.0309,0.4005,741
VRTX,0.0365,0.343,-0.0402,0.2967,677
WDAY,0.0205,0.6873,0.0932,0.0665,389
