ticker,sensitivity,correlation,sample_size,avg_daily_articles
ASML,0.4179,0.4179,396,1.5
AMAT,0.3922,0.3922,356,2.3
LRCX,0.3897,0.3897,376,1.8
MCHP,0.3051,0.3051,423,1.8
KLAC,0.3003,0.3003,409,1.7
ADI,0.2845,0.2845,473,2.1
CSCO,0.2727,0.2727,409,2.4
MU,0.2701,0.2701,1139,2.7
MRVL,0.2651,0.2651,686,2.1
ADP,0.2618,0.2618,434,1.7
FAST,0.2377,0.2377,245,2.1
PAYX,0.2366,0.2366,316,2.0
TXN,0.2351,0.2351,742,2.2
INTU,0.2324,0.2324,524,2.1
NVDA,0.2129,0.2129,1125,2.7
SBUX,0.2128,0.2128,280,2.8
WDAY,0.2109,0.2109,389,2.4
JD,0.2102,0.2102,596,2.0
CTAS,0.2078,0.2078,255,2.2
NXPI,0.1986,0.1986,642,1.7
QCOM,0.1967,0.1967,1152,2.5
ENPH,0.1914,0.1914,301,1.8
NTES,0.1904,0.1904,390,1.5
GOOG,0.1869,0.1869,352,3.3
ADBE,0.1826,0.1826,721,2.7
GOOGL,0.1782,0.1782,424,3.6
CTSH,0.177,0.177,418,2.0
AVGO,0.1764,0.1764,691,2.4
BIDU,0.1642,0.1642,946,1.9
TSLA,0.1629,0.1629,230,7.8
ORLY,0.1554,0.1554,347,1.7
BIIB,0.1296,0.1296,805,2.3
ALGN,0.1255,0.1255,326,1.7
SIRI,0.1241,0.1241,693,1.7
DLTR,0.1101,0.1101,631,2.3
ORCL,0.1083,0.1083,959,2.7
NFLX,0.0944,0.0944,783,3.7
EA,0.0942,0.0942,948,2.2
FTNT,0.093,0.093,453,1.9
MNST,0.0887,0.0887,455,2.0
CMCSA,0.086,0.086,812,2.1
ILMN,0.0812,0.0812,557,2.2
VRTX,0.0756,0.0756,678,1.9
GILD,0.0753,0.0753,1210,2.3
EBAY,0.0472,0.0472,1073,2.7
PANW,0.0447,0.0447,509,2.6
REGN,0.0417,0.0417,718,2.0
